Номер маршрута;Начало маршрута;Конец маршрута;Протяженность маршрута, км;Наличие системы безналичной оплаты проезда;Наличие автоматического объявления остановки;Вид транспорта;Дата введения маршрута;Время в пути, мин
1;ул. Энтузиастов;Школа №73;28.44;да;да;Автобус;10.09.2011;34
1д;ул. Энтузиастов;а/п Рощино;49.59;да;да;Автобус;01.01.2021;
2;п.ДОК;ул. Таллинская;56.56;да;да;Автобус;27.01.2014;67
3;Центральный рынок;Жилой район Преображенский;18.28;да;да;Автобус;01.09.2022;
4;Центральный рынок;п. ММС;18.34;да;да;Маршрутка;10.09.2011;21
4д;Центральный рынок;ул. Электросетей;23.35;да;да;Маршрутка;01.01.2021;28
5;д. Матмасы;мкр. Южный;32.49;да;да;Маршрутка;10.09.2011;38
6;ЖК Апрель;с/о Степное;36.02;да;да;Маршрутка;10.09.2011;45
7;ул. Энтузиастов;ул. Прокопия Артамонова;23.58;да;да;Автобус;01.07.2012;30
8;ул. Таллинская;д. Матмасы;46.29;да;да;Автобус;02.03.2015;60
9;Центральный рынок;с/о Лесник;32.96;да;да;Автобус;10.09.2011;32
10;Автовокзал;ул. Мегионская;38.7;да;да;Автобус;10.09.2011;47
11;Рабочий поселок;Дом Обороны;29.95;да;да;Автобус;10.09.2011;32
11д;6 км. Старого Тобольского тракта;Дом Обороны;45.29;да;да;Автобус;01.01.2021;54
13;ул. Прокопия Артамонова;ЖДВ;27.74;да;да;Автобус;10.09.2011;74
14;ул. Депутатская;Районная больница;33.24;да;да;Автобус;10.09.2011;39
15;мкр. Лесной;мкр. Южный;38.15;да;да;Автобус;10.09.2011;28
16;ул. Созидателей;Тюменский индустриальный университет;34.41;да;да;Автобус;01.01.2018;36
17;мкр. Восточный;ул. Метелёвская;41.4;да;да;Автобус;10.09.2011;59
17к;мкр. Восточный;с/о Ласка;40.08;да;да;Автобус;01.01.2021;57
18;ул. Газопромысловая;Комбинат хлебопродуктов;45.65;да;да;Автобус;10.09.2011;32
20;ЖДВ;ул. Ершова;23.63;да;да;Автобус;10.09.2011;28
22;СК Здоровье;ул. Николая Семенова;23.57;да;да;Автобус;27.01.2014;35
24;з?д Нефтемаш;ул. Газопромысловая;30.85;да;да;Маршрутка;20.06.2014;36
